@relation 'stocks-weka.filters.unsupervised.attribute.Remove-R1-3,14-weka.filters.unsupervised.attribute.Remove-R9-10'

@attribute ‘open’ numeric
@attribute ‘high’ numeric
@attribute ‘low’ numeric
@attribute ‘close’ numeric
@attribute ‘volume’ numeric
@attribute ‘percent_change_price’ numeric
@attribute ‘percent_change_volume_over_last_wk’ numeric
@attribute ‘previous_weeks_volume’ numeric
@attribute ‘days_to_next_dividend’ numeric
@attribute ‘percent_return_next_dividend’ numeric
@attribute ‘result’ {gain,loss}

@data
17.13,17.8,17.02,17.47,103320396,1.98482,8.131839,95550392,41,0.171723,gain
17.42,18.47,17.42,17.92,129237024,2.87026,25.083748,103320396,34,0.167411,loss
18.06,18.19,16.38,16.52,213061090,-8.52713,64.860721,129237024,27,0.181598,gain
16.36,16.97,15.88,16.97,85235391,3.72861,-59.994858,213061090,21,0.176783,gain
16.94,17.24,16.66,17,90831895,0.354191,6.565939,85235391,13,0.176471,loss
17.27,17.96,16.83,17.15,225053559,-0.694847,147.769309,90831895,6,0.174927,loss
17.16,17.62,16.75,17.1,111630753,-0.34965,-50.398139,225053559,82,0.175439,loss
17,17.29,16.26,16.26,118281015,-4.35294,5.957374,111630753,75,0.184502,gain
15.96,16.48,15.83,16.48,77236662,3.25815,-34.700711,118281015,68,0.182039,loss
16.73,16.83,15.77,15.92,77152591,-4.8416,-0.108849,77236662,61,0.188442,loss
15.92,16.03,15.17,15.28,94970970,-4.0201,23.094985,77152591,54,0.196335,loss
15.29,15.5,14.59,14.72,111273573,-3.72793,17.16588,94970970,47,0.203804,gain
14.67,15.6,14.56,15.23,99423717,3.81731,-10.649299,111273573,40,0.19698,gain
45.54,46.29,45.11,45.36,28738689,-0.395257,-6.687515,30798332,5,0.396825,gain
45.61,46.49,45.1,46.28,31114741,1.46898,8.267781,28738689,82,0.388937,loss
46.36,46.95,45.6,46.25,29090940,-0.237274,-6.504316,31114741,75,0.389189,gain
45.85,47.48,45.27,47.11,22929313,2.74809,-21.18057,29090940,69,0.382084,gain
47.19,49.15,46.77,49.08,32470319,4.00509,41.610518,22929313,61,0.366748,gain
49.37,50.47,49.08,50.2,43997724,1.68118,35.50136,32470319,54,0.358566,loss
50.06,50.46,49.22,49.49,35427164,-1.13863,-19.479553,43997724,47,0.36371,gain
49.42,51.97,49.17,51.19,36565612,3.58155,3.213489,35427164,40,0.351631,gain
50.74,51.38,49.79,51.13,26359875,0.768624,-27.910751,36565612,33,0.352044,loss
51.39,51.7,49.04,49.28,25215640,-4.10586,-4.340821,26359875,26,0.36526,loss
49.13,49.38,47.33,47.74,33828918,-2.82923,34.158475,25215640,19,0.377042,gain
47.96,49.14,46.92,48.5,37705374,1.12594,11.459001,33828918,12,0.371134,loss
48.35,50.15,48.15,48.34,34877916,-0.020683,-7.49882,37705374,5,0.372362,gain
73.5,74.85,73.03,74.01,20590618,0.693878,-15.693574,24423545,40,0.567491,gain
73.38,74.85,72.71,73.47,21220138,0.122649,3.057315,20590618,33,0.571662,loss
73.65,74.28,70.88,72.6,19492289,-1.42566,-8.142497,21220138,26,0.578512,gain
72.72,75.44,71.75,75.44,16947409,3.74037,-13.055829,19492289,20,0.556734,gain
75.51,80.34,74.68,79.78,30503034,5.65488,79.986416,16947409,12,0.526448,loss
80.35,80.65,78.09,79.31,25394946,-1.29434,-16.746164,30503034,5,0.529568,loss
79.31,80.42,78.48,79.03,18368201,-0.353045,-27.669856,25394946,89,0.531444,loss
78.66,78.81,75.83,77.52,19990094,-1.44928,8.829896,18368201,82,0.541796,gain
76.55,76.99,75.13,76.99,15886795,0.574788,-20.526662,19990094,75,0.545525,loss
77.8,78.35,74.09,74.84,17813730,-3.80463,12.129161,15886795,68,0.561197,loss
74.76,75.27,72.61,72.69,18574466,-2.76886,4.270504,17813730,61,0.577796,gain
73.06,75.51,72.69,74.16,25381159,1.50561,36.64543,18574466,54,0.566343,loss
73.96,75.02,70.29,71.26,30675314,-3.65062,20.858602,25381159,47,0.589391,gain
13.42,13.61,13.16,13.37,499672763,-0.372578,-30.376566,717678994,61,0.074794,gain
13.4,13.88,13.37,13.48,480033181,0.597015,-3.930489,499672763,54,0.074184,loss
13.5,13.64,12.82,12.82,670594575,-5.03704,39.697546,480033181,47,0.078003,loss
12.59,12.6,12.15,12.31,624897506,-2.22399,-6.814411,670594575,41,0.081235,loss
12.32,12.6,12.23,12.28,557530217,-0.324675,-10.780534,624897506,33,0.081433,loss
12.36,12.71,12.2,12.31,577232010,-0.404531,3.533762,557530217,26,0.081235,loss
12.28,12.43,11.91,11.93,623724296,-2.85016,8.05435,577232010,19,0.083822,loss
11.89,12.11,11.53,11.58,658968285,-2.60723,5.650572,623724296,12,0.086356,gain
11.47,11.69,11.29,11.69,479389107,1.91805,-27.251566,658968285,5,0.085543,loss
11.87,11.92,11.08,11.28,596420503,-4.97051,24.412611,479389107,89,0.088653,loss
11.18,11.2,10.41,10.8,873241317,-3.39893,46.413698,596420503,82,0.092593,loss
10.89,11.12,10.4,10.68,889460755,-1.92837,1.857383,873241317,75,0.093633,loss
10.59,10.94,10.48,10.52,603098073,-0.661001,-32.195089,889460755,68,0.095057,gain
109.54,113.59,108.61,113.12,28116391,3.26821,-25.691645,37837456,19,0.388967,loss
113.75,113.93,108.88,109.82,28772937,-3.45495,2.335101,28116391,12,0.400656,loss
110.02,110.3,105.35,107.21,30697889,-2.55408,6.690148,28772937,5,0.410409,gain
105.58,109.42,102.16,109.42,23938892,3.63705,-22.017791,30697889,88,0.420398,gain
109.24,116.25,107.95,115.41,34522949,5.64811,44.212811,23938892,80,0.398579,loss
116.24,116.55,108.39,110.34,39678464,-5.07571,14.933588,34522949,73,0.416893,loss
110.8,112.97,106.02,106.33,38211403,-4.0343,-3.697373,39678464,66,0.432615,loss
105.87,108.27,101.47,104.33,54274252,-1.45461,42.036795,38211403,59,0.440909,gain
101.3,104.6,100.3,104.6,30213720,3.25765,-44.331393,54274252,52,0.439771,loss
106.41,106.6,99.15,101.1,35887587,-4.99013,18.779108,30213720,45,0.454995,loss
100.25,101.61,96.42,96.79,40431926,-3.45137,12.662704,35887587,38,0.475256,loss
96.93,98.45,94.2,95.95,43606429,-1.01104,7.851476,40431926,31,0.479416,gain
96.49,102.5,96.05,100.01,43722864,3.64805,0.267013,43606429,24,0.459954,gain
17.36,17.6,16.99,17.04,308644641,-1.84332,8.458428,284574143,95,0.352113,gain
17.01,18.29,17,17.65,539982011,3.76249,74.952661,308644641,88,0.339943,loss
17.71,17.76,16.97,17.03,324203125,-3.83964,-39.960384,539982011,81,0.352319,gain
16.88,16.96,16.52,16.94,249420898,0.35545,-23.066473,324203125,75,0.354191,gain
16.93,17.64,16.9,17.52,412492845,3.48494,65.380226,249420898,67,0.342466,gain
17.51,17.7,17.28,17.56,290282402,0.285551,-29.627288,412492845,60,0.341686,loss
17.53,17.99,16.64,16.88,563552552,-3.70793,94.139413,290282402,53,0.35545,loss
16.82,16.87,16.34,16.53,371711669,-1.72414,-34.041348,563552552,46,0.362976,gain
16.41,16.46,16.11,16.46,235050333,0.304692,-36.765415,371711669,39,0.36452,loss
16.59,16.82,15.98,16.01,256069538,-3.49608,8.942427,235050333,32,0.374766,loss
16.04,16.17,15.01,15.12,412198054,-5.73566,60.97114,256069538,25,0.396825,loss
15.14,15.28,14.78,14.97,401380782,-1.12285,-2.62429,412198054,18,0.400802,loss
